timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 23:00:00,2026,4,13,23,Sơn La,Xã Vân Hồ,20.7958205,104.847011,163.0,Unhealthy,3.0,23.3,84,0.0,4.0,170,898.4,61,94.3,112.5,548.0,26.2,83.0,8.8
2026-04-14 00:00:00,2026,4,14,0,Sơn La,Xã Vân Hồ,20.7958205,104.847011,163.0,Unhealthy,3.0,22.7,88,0.0,3.7,169,898.0,59,96.4,113.9,489.0,25.6,72.0,7.6
2026-04-14 01:00:00,2026,4,14,1,Sơn La,Xã Vân Hồ,20.7958205,104.847011,164.0,Unhealthy,3.0,22.2,91,0.0,3.7,191,897.4,44,97.8,114.3,447.0,25.0,62.0,6.5
2026-04-14 02:00:00,2026,4,14,2,Sơn La,Xã Vân Hồ,20.7958205,104.847011,164.0,Unhealthy,3.0,21.8,91,0.0,4.0,207,896.7,59,98.3,113.9,422.0,24.6,52.0,5.7
2026-04-14 03:00:00,2026,4,14,3,Sơn La,Xã Vân Hồ,20.7958205,104.847011,165.0,Unhealthy,3.0,21.6,91,0.0,3.6,217,896.5,60,98.3,113.2,415.0,24.1,42.0,4.9
2026-04-14 04:00:00,2026,4,14,4,Sơn La,Xã Vân Hồ,20.7958205,104.847011,165.0,Unhealthy,3.0,21.4,90,0.0,3.9,236,896.5,59,98.0,111.8,450.0,23.1,39.0,4.4
2026-04-14 05:00:00,2026,4,14,5,Sơn La,Xã Vân Hồ,20.7958205,104.847011,165.0,Unhealthy,3.0,21.1,90,0.0,3.4,238,897.1,52,97.1,110.1,577.0,21.6,40.0,4.1
2026-04-14 06:00:00,2026,4,14,6,Sơn La,Xã Vân Hồ,20.7958205,104.847011,166.0,Unhealthy,3.0,21.2,88,0.0,3.2,243,897.5,47,96.2,108.7,745.0,19.6,47.0,4.0
2026-04-14 07:00:00,2026,4,14,7,Sơn La,Xã Vân Hồ,20.7958205,104.847011,166.0,Unhealthy,3.0,23.2,83,0.0,1.6,207,898.5,0,95.0,105.0,831.0,16.8,67.0,4.1
2026-04-14 08:00:00,2026,4,14,8,Sơn La,Xã Vân Hồ,20.7958205,104.847011,166.0,Unhealthy,3.0,26.0,71,0.0,4.2,149,900.2,30,91.3,99.9,754.0,12.3,114.0,4.7
2026-04-14 09:00:00,2026,4,14,9,Sơn La,Xã Vân Hồ,20.7958205,104.847011,165.0,Unhealthy,3.0,27.7,66,0.0,4.6,141,900.9,41,85.9,97.8,595.0,7.0,175.0,5.5
2026-04-14 10:00:00,2026,4,14,10,Sơn La,Xã Vân Hồ,20.7958205,104.847011,165.0,Unhealthy,3.0,29.4,56,0.0,5.0,159,901.3,76,76.1,89.6,469.0,3.1,215.0,5.9
2026-04-14 11:00:00,2026,4,14,11,Sơn La,Xã Vân Hồ,20.7958205,104.847011,165.0,Unhealthy,3.0,31.1,43,0.0,5.9,194,901.3,39,57.2,70.1,425.0,1.6,214.0,5.4
2026-04-14 12:00:00,2026,4,14,12,Sơn La,Xã Vân Hồ,20.7958205,104.847011,165.0,Unhealthy,3.0,32.2,36,0.0,8.7,225,900.7,71,47.0,59.4,413.0,1.5,192.0,4.5
2026-04-14 13:00:00,2026,4,14,13,Sơn La,Xã Vân Hồ,20.7958205,104.847011,164.0,Unhealthy,3.0,32.8,33,0.0,6.9,231,899.5,72,44.9,57.0,406.0,1.6,175.0,3.8
2026-04-14 14:00:00,2026,4,14,14,Sơn La,Xã Vân Hồ,20.7958205,104.847011,164.0,Unhealthy,3.0,32.4,34,0.0,6.6,257,898.2,89,44.9,56.8,384.0,1.2,176.0,3.7
