timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,85.0,Moderate,1.0,27.0,83,0.0,6.6,158,1010.4,0,26.0,28.3,211.0,14.6,61.0,6.1
2026-04-13 23:00:00,2026,4,13,23,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,85.0,Moderate,1.0,26.6,86,0.0,5.1,176,1010.5,12,27.8,30.2,217.0,15.2,56.0,5.6
2026-04-14 00:00:00,2026,4,14,0,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,84.0,Moderate,1.0,26.3,88,0.0,5.1,184,1010.0,27,29.5,31.8,224.0,16.2,52.0,5.0
2026-04-14 01:00:00,2026,4,14,1,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,84.0,Moderate,1.0,26.0,90,0.0,5.1,184,1009.6,30,32.1,34.5,230.0,17.7,48.0,4.8
2026-04-14 02:00:00,2026,4,14,2,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,84.0,Moderate,1.0,25.8,91,0.0,5.0,180,1009.1,30,35.6,38.0,233.0,20.2,42.0,5.2
2026-04-14 03:00:00,2026,4,14,3,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,84.0,Moderate,1.0,25.7,91,0.0,4.7,180,1009.1,26,40.3,42.7,235.0,23.2,36.0,6.0
2026-04-14 04:00:00,2026,4,14,4,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,84.0,Moderate,1.0,25.5,92,0.0,4.3,180,1009.5,20,45.6,48.1,238.0,25.5,32.0,6.9
2026-04-14 05:00:00,2026,4,14,5,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,85.0,Moderate,1.0,25.4,93,0.0,3.6,180,1009.8,11,51.1,53.8,249.0,27.2,30.0,8.4
2026-04-14 06:00:00,2026,4,14,6,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,85.0,Moderate,1.0,25.2,93,0.0,3.0,166,1010.3,8,58.8,61.7,261.0,28.0,31.0,10.0
2026-04-14 07:00:00,2026,4,14,7,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,86.0,Moderate,1.0,26.2,90,0.0,3.7,169,1011.1,8,55.8,58.9,262.0,26.3,39.0,10.6
2026-04-14 08:00:00,2026,4,14,8,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,87.0,Moderate,1.0,28.0,79,0.0,6.8,177,1012.0,43,30.9,35.0,240.0,19.6,61.0,9.2
2026-04-14 09:00:00,2026,4,14,9,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,29.6,69,0.0,8.0,172,1012.3,55,23.4,27.9,207.0,10.4,90.0,6.7
2026-04-14 10:00:00,2026,4,14,10,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,30.9,62,0.0,6.3,149,1011.8,65,21.5,25.2,184.0,3.5,113.0,4.7
2026-04-14 11:00:00,2026,4,14,11,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,32.2,57,0.0,6.2,126,1011.3,57,20.3,22.8,181.0,1.4,125.0,3.9
2026-04-14 12:00:00,2026,4,14,12,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,33.5,52,0.0,7.3,110,1010.2,61,20.2,22.4,187.0,1.7,130.0,3.5
2026-04-14 13:00:00,2026,4,14,13,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,34.4,48,0.0,8.0,108,1009.1,51,20.0,22.3,191.0,2.3,132.0,3.3
2026-04-14 14:00:00,2026,4,14,14,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,35.0,46,0.0,9.2,116,1008.0,52,19.7,22.0,185.0,2.1,130.0,2.9
2026-04-14 15:00:00,2026,4,14,15,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,34.9,47,0.0,10.5,128,1007.2,37,18.7,21.0,176.0,2.1,123.0,2.5
2026-04-14 16:00:00,2026,4,14,16,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,34.2,49,0.0,11.7,133,1006.7,29,18.3,20.4,174.0,3.2,114.0,2.6
2026-04-14 17:00:00,2026,4,14,17,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,33.1,51,0.0,12.3,140,1006.7,0,18.4,20.4,187.0,6.1,100.0,3.3
2026-04-14 18:00:00,2026,4,14,18,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,31.2,57,0.0,11.9,145,1007.2,0,21.9,23.7,208.0,10.0,82.0,4.5
2026-04-14 19:00:00,2026,4,14,19,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,87.0,Moderate,1.0,29.4,65,0.0,10.5,142,1007.8,0,24.0,25.5,223.0,13.3,68.0,5.5
2026-04-14 20:00:00,2026,4,14,20,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,87.0,Moderate,1.0,28.0,72,0.0,8.9,140,1008.3,0,25.4,27.0,227.0,15.4,59.0,6.2
2026-04-14 21:00:00,2026,4,14,21,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,87.0,Moderate,1.0,27.1,78,0.0,7.7,143,1008.7,0,27.9,29.5,225.0,16.9,53.0,6.8
2026-04-14 22:00:00,2026,4,14,22,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,26.5,82,0.0,7.1,150,1009.0,0,31.9,33.6,223.0,18.0,49.0,7.1
2026-04-14 23:00:00,2026,4,14,23,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,88.0,Moderate,1.0,26.0,86,0.0,5.4,176,1009.0,0,34.5,36.3,220.0,18.5,46.0,6.9
2026-04-15 00:00:00,2026,4,15,0,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,89.0,Moderate,1.0,25.7,88,0.0,5.0,210,1009.0,20,35.2,37.0,215.0,18.5,44.0,6.3
2026-04-15 01:00:00,2026,4,15,1,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,89.0,Moderate,1.0,25.4,90,0.0,4.2,211,1008.8,31,35.3,37.1,214.0,18.9,43.0,6.0
2026-04-15 02:00:00,2026,4,15,2,Tây Ninh,Xã An Lục Long,10.4229544,106.4624109,90.0,Moderate,1.0,25.3,92,0.0,3.1,201,1008.4,43,35.5,37.4,218.0,19.9,41.0,5.9
