timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 00:00:00,2026,4,14,0,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,152.0,Unhealthy,3.0,27.3,82,0.0,5.8,187,1009.0,26,74.0,75.9,225.0,41.0,29.0,13.6
2026-04-14 01:00:00,2026,4,14,1,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,152.0,Unhealthy,3.0,26.9,86,0.0,5.8,180,1008.8,40,71.0,72.9,225.0,39.8,26.0,12.9
2026-04-14 02:00:00,2026,4,14,2,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,26.7,89,0.0,6.6,171,1008.3,46,68.2,70.1,238.0,39.0,24.0,12.2
2026-04-14 03:00:00,2026,4,14,3,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,26.4,89,0.0,6.8,162,1008.1,53,65.9,68.0,257.0,38.1,24.0,11.5
2026-04-14 04:00:00,2026,4,14,4,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,26.2,88,0.0,7.0,159,1008.5,58,64.7,67.1,268.0,36.7,25.0,11.1
2026-04-14 05:00:00,2026,4,14,5,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,26.0,87,0.0,7.1,156,1009.1,55,65.2,67.5,266.0,35.0,26.0,11.2
2026-04-14 06:00:00,2026,4,14,6,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,25.7,88,0.0,6.8,155,1009.6,51,67.5,69.8,257.0,32.7,29.0,11.6
2026-04-14 07:00:00,2026,4,14,7,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,26.6,84,0.0,8.0,162,1010.5,48,63.1,65.9,243.0,28.7,39.0,11.5
2026-04-14 08:00:00,2026,4,14,8,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,28.2,76,0.0,9.8,174,1011.3,41,44.2,48.0,221.0,21.2,62.0,10.4
2026-04-14 09:00:00,2026,4,14,9,Tây Ninh,Xã Hưng Điền,10.9273093,105.6042505,151.0,Unhealthy,3.0,30.0,69,0.0,10.6,190,1011.7,50,31.4,35.9,194.0,12.0,92.0,8.9
