timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 00:00:00,2026,4,14,0,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,100.0,Moderate,1.0,28.2,78,0.0,8.6,147,1007.7,31,31.0,32.1,239.0,21.1,60.0,15.1
2026-04-14 01:00:00,2026,4,14,1,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,99.0,Moderate,1.0,27.6,81,0.0,7.6,155,1007.4,24,28.4,29.7,203.0,22.4,50.0,15.8
2026-04-14 02:00:00,2026,4,14,2,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,98.0,Moderate,1.0,27.2,83,0.0,7.0,159,1007.0,41,28.2,30.3,192.0,21.8,46.0,15.0
2026-04-14 03:00:00,2026,4,14,3,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,97.0,Moderate,1.0,26.9,85,0.0,7.1,156,1006.8,56,28.2,30.5,192.0,20.0,46.0,13.3
2026-04-14 04:00:00,2026,4,14,4,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,97.0,Moderate,1.0,26.7,85,0.0,7.6,155,1007.3,55,28.6,31.1,194.0,18.5,46.0,12.0
2026-04-14 05:00:00,2026,4,14,5,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,96.0,Moderate,1.0,26.5,84,0.0,7.4,151,1007.9,46,29.7,32.4,195.0,18.1,44.0,11.9
2026-04-14 06:00:00,2026,4,14,6,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,96.0,Moderate,1.0,26.2,85,0.0,6.6,151,1008.4,39,31.5,34.2,197.0,17.9,44.0,12.1
2026-04-14 07:00:00,2026,4,14,7,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,95.0,Moderate,1.0,26.8,83,0.0,7.1,156,1009.3,45,32.6,35.6,196.0,16.5,50.0,11.8
2026-04-14 08:00:00,2026,4,14,8,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,95.0,Moderate,1.0,28.2,77,0.0,8.7,163,1010.1,55,28.4,32.1,188.0,12.4,70.0,10.2
2026-04-14 09:00:00,2026,4,14,9,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,95.0,Moderate,1.0,29.7,71,0.0,9.4,176,1010.5,59,23.6,27.4,177.0,7.0,96.0,8.1
2026-04-14 10:00:00,2026,4,14,10,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,94.0,Moderate,1.0,31.4,64,0.0,9.4,178,1010.3,62,21.8,24.5,171.0,3.0,119.0,6.4
2026-04-14 11:00:00,2026,4,14,11,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,94.0,Moderate,1.0,32.9,57,0.0,8.8,168,1009.8,74,22.1,23.5,175.0,1.6,133.0,5.5
2026-04-14 12:00:00,2026,4,14,12,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,93.0,Moderate,1.0,34.2,52,0.0,9.0,164,1008.6,66,31.2,32.8,183.0,1.5,144.0,5.1
2026-04-14 13:00:00,2026,4,14,13,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,93.0,Moderate,1.0,35.2,48,0.0,8.9,159,1007.2,52,27.5,28.8,191.0,1.6,152.0,4.8
2026-04-14 14:00:00,2026,4,14,14,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,93.0,Moderate,1.0,35.9,45,0.0,8.2,157,1006.1,57,28.8,30.0,196.0,1.4,159.0,4.6
2026-04-14 15:00:00,2026,4,14,15,Tây Ninh,Xã Phước Vinh,11.44656,105.935137,92.0,Moderate,1.0,36.3,43,0.0,7.5,163,1005.1,33,30.0,31.2,200.0,1.5,163.0,4.7
