timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 23:00:00,2026,4,13,23,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,60.0,Moderate,1.0,26.8,87,0.0,7.5,163,1009.9,0,15.7,19.7,188.0,7.1,79.0,1.8
2026-04-14 00:00:00,2026,4,14,0,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,59.0,Moderate,1.0,26.5,89,0.0,6.2,187,1009.7,13,15.7,19.7,197.0,7.2,78.0,1.6
2026-04-14 01:00:00,2026,4,14,1,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,59.0,Moderate,1.0,26.3,90,0.0,5.9,194,1009.4,31,16.1,20.0,205.0,7.5,77.0,1.5
2026-04-14 02:00:00,2026,4,14,2,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,59.0,Moderate,1.0,26.1,90,0.0,5.4,188,1008.9,36,16.8,20.7,211.0,8.3,75.0,1.6
2026-04-14 03:00:00,2026,4,14,3,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,59.0,Moderate,1.0,25.9,91,0.0,5.4,180,1008.7,36,18.0,21.9,216.0,9.4,72.0,1.9
2026-04-14 04:00:00,2026,4,14,4,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,59.0,Moderate,1.0,25.8,92,0.0,5.8,176,1009.1,34,19.7,23.5,220.0,10.4,70.0,2.2
2026-04-14 05:00:00,2026,4,14,5,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,59.0,Moderate,1.0,25.6,92,0.0,5.4,172,1009.6,30,21.8,25.6,225.0,11.4,68.0,2.8
2026-04-14 06:00:00,2026,4,14,6,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,59.0,Moderate,1.0,25.5,93,0.0,5.1,176,1010.0,27,24.9,28.8,228.0,12.3,68.0,3.5
2026-04-14 07:00:00,2026,4,14,7,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,60.0,Moderate,1.0,26.5,89,0.0,6.1,180,1010.8,24,23.4,27.2,226.0,12.0,70.0,3.8
2026-04-14 08:00:00,2026,4,14,8,Tây Ninh,Xã Tân Lân,10.5103868,106.635426,60.0,Moderate,1.0,28.2,79,0.0,9.4,180,1011.6,49,16.9,21.1,212.0,9.7,78.0,3.3
