timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 00:00:00,2026,4,14,0,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,154.0,Unhealthy,3.0,27.2,88,0.0,6.6,119,1002.3,73,43.8,48.8,324.0,24.8,73.0,15.7
2026-04-14 01:00:00,2026,4,14,1,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,153.0,Unhealthy,3.0,27.0,89,0.0,7.2,117,1001.8,83,42.0,47.0,314.0,23.8,73.0,14.4
2026-04-14 02:00:00,2026,4,14,2,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,153.0,Unhealthy,3.0,27.0,89,0.0,7.8,112,1001.1,85,40.3,45.3,303.0,23.1,71.0,13.4
2026-04-14 03:00:00,2026,4,14,3,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,153.0,Unhealthy,3.0,27.0,88,0.0,7.3,110,1001.0,83,39.2,44.1,292.0,22.5,68.0,12.6
2026-04-14 04:00:00,2026,4,14,4,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,153.0,Unhealthy,3.0,26.9,88,0.0,7.8,112,1001.2,86,39.6,44.5,287.0,22.2,66.0,12.2
2026-04-14 05:00:00,2026,4,14,5,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,152.0,Unhealthy,3.0,27.0,88,0.0,5.2,106,1001.9,88,41.7,46.7,292.0,22.9,60.0,12.4
2026-04-14 06:00:00,2026,4,14,6,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,152.0,Unhealthy,3.0,27.0,89,0.0,4.2,110,1002.4,93,45.5,50.8,304.0,23.9,54.0,13.0
2026-04-14 07:00:00,2026,4,14,7,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,152.0,Unhealthy,3.0,27.4,88,0.0,4.7,113,1003.0,91,44.9,49.7,313.0,23.4,58.0,13.7
2026-04-14 08:00:00,2026,4,14,8,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,151.0,Unhealthy,3.0,28.3,84,0.0,7.7,143,1003.8,92,35.6,41.0,314.0,20.1,79.0,14.7
2026-04-14 09:00:00,2026,4,14,9,Thái Nguyên,Xã Trại Cau,21.5951541,105.9489061,150.0,Unhealthy for Sensitive Groups,2.0,29.2,80,0.0,7.5,145,1004.1,85,38.0,43.9,313.0,15.4,112.0,15.8
