timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,173.0,Unhealthy,3.0,27.4,85,0.0,4.4,99,1002.1,71,79.2,85.2,405.0,18.3,124.0,15.2
2026-04-13 23:00:00,2026,4,13,23,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,173.0,Unhealthy,3.0,26.7,90,0.0,2.1,121,1002.2,78,84.5,90.6,418.0,20.9,107.0,14.7
2026-04-14 00:00:00,2026,4,14,0,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,172.0,Unhealthy,3.0,26.4,92,0.0,1.8,90,1001.7,72,92.2,98.7,434.0,24.2,88.0,13.9
2026-04-14 01:00:00,2026,4,14,1,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,172.0,Unhealthy,3.0,26.0,94,0.0,2.8,140,1001.1,63,99.4,106.2,444.0,26.9,72.0,12.9
2026-04-14 02:00:00,2026,4,14,2,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,171.0,Unhealthy,3.0,25.6,95,0.0,1.5,194,1000.6,35,104.5,111.8,440.0,28.9,57.0,11.7
2026-04-14 03:00:00,2026,4,14,3,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,171.0,Unhealthy,3.0,25.3,97,0.0,1.0,135,1000.5,47,108.3,115.7,430.0,30.3,43.0,10.3
2026-04-14 04:00:00,2026,4,14,4,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,171.0,Unhealthy,3.0,25.1,96,0.0,1.1,180,1000.8,67,110.6,118.5,425.0,30.3,37.0,9.1
2026-04-14 05:00:00,2026,4,14,5,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,171.0,Unhealthy,3.0,25.1,96,0.0,1.1,198,1001.5,57,112.2,120.6,422.0,28.5,38.0,7.9
2026-04-14 06:00:00,2026,4,14,6,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,171.0,Unhealthy,3.0,24.9,96,0.0,1.1,180,1002.1,32,113.4,121.5,424.0,25.4,46.0,6.9
2026-04-14 07:00:00,2026,4,14,7,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,171.0,Unhealthy,3.0,26.0,95,0.0,0.0,270,1002.6,0,112.5,119.0,459.0,21.3,70.0,6.3
2026-04-14 08:00:00,2026,4,14,8,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,171.0,Unhealthy,3.0,27.8,87,0.0,2.9,30,1003.4,32,103.1,109.4,570.0,15.6,124.0,6.5
2026-04-14 09:00:00,2026,4,14,9,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,170.0,Unhealthy,3.0,29.8,80,0.0,3.4,58,1003.5,35,98.0,107.8,714.0,9.0,194.0,7.2
2026-04-14 10:00:00,2026,4,14,10,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,170.0,Unhealthy,3.0,31.9,72,0.0,4.5,76,1003.3,36,94.3,106.6,786.0,4.1,241.0,7.7
2026-04-14 11:00:00,2026,4,14,11,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,169.0,Unhealthy,3.0,33.8,67,0.0,6.4,74,1002.7,50,75.7,88.2,714.0,2.3,245.0,7.7
2026-04-14 12:00:00,2026,4,14,12,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,169.0,Unhealthy,3.0,34.9,63,0.0,8.7,97,1002.0,36,60.1,71.9,570.0,2.3,226.0,7.4
2026-04-14 13:00:00,2026,4,14,13,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,168.0,Unhealthy,3.0,34.5,64,0.0,12.0,111,1000.9,44,55.5,67.5,469.0,2.5,209.0,7.2
2026-04-14 14:00:00,2026,4,14,14,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,168.0,Unhealthy,3.0,33.3,65,2.0,8.8,71,1000.0,100,53.6,65.9,469.0,2.2,203.0,7.0
2026-04-14 15:00:00,2026,4,14,15,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,179.0,Unhealthy,3.0,33.5,64,0.5,10.6,108,999.1,98,51.8,64.0,512.0,2.2,200.0,6.8
2026-04-14 16:00:00,2026,4,14,16,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,199.0,Unhealthy,3.0,33.4,62,0.0,14.1,122,998.9,60,49.6,61.5,533.0,3.3,194.0,7.3
2026-04-14 17:00:00,2026,4,14,17,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,204.0,Very Unhealthy,4.0,32.2,69,0.0,14.5,136,998.8,78,49.4,59.6,499.0,6.6,185.0,9.1
2026-04-14 18:00:00,2026,4,14,18,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,204.0,Very Unhealthy,4.0,30.9,73,0.0,10.2,132,998.8,61,53.1,61.2,444.0,11.0,173.0,11.6
2026-04-14 19:00:00,2026,4,14,19,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,198.0,Unhealthy,3.0,29.7,79,0.0,7.3,101,999.4,66,54.8,61.5,401.0,14.4,162.0,13.4
2026-04-14 20:00:00,2026,4,14,20,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,185.0,Unhealthy,3.0,28.6,85,0.0,6.8,108,1000.3,64,55.3,60.8,384.0,15.5,152.0,14.1
2026-04-14 21:00:00,2026,4,14,21,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,173.0,Unhealthy,3.0,27.9,86,0.0,6.3,103,1001.0,50,54.2,58.9,379.0,15.5,143.0,14.1
2026-04-14 22:00:00,2026,4,14,22,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,163.0,Unhealthy,3.0,27.0,89,0.0,4.6,108,1001.2,85,54.1,58.0,380.0,16.1,132.0,13.9
2026-04-14 23:00:00,2026,4,14,23,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,162.0,Unhealthy,3.0,26.5,91,0.0,3.4,108,1000.8,86,56.1,59.5,385.0,18.2,119.0,13.5
2026-04-15 00:00:00,2026,4,15,0,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,162.0,Unhealthy,3.0,26.1,94,0.0,2.3,129,1000.4,73,60.8,64.5,396.0,20.9,104.0,12.9
2026-04-15 01:00:00,2026,4,15,1,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,161.0,Unhealthy,3.0,25.7,96,0.0,1.8,101,1000.0,65,67.5,71.5,408.0,23.5,89.0,12.2
2026-04-15 02:00:00,2026,4,15,2,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,160.0,Unhealthy,3.0,25.4,98,0.0,1.3,124,999.6,76,74.0,78.2,421.0,26.4,71.0,11.3
2026-04-15 03:00:00,2026,4,15,3,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,160.0,Unhealthy,3.0,25.3,99,0.0,1.5,166,999.2,85,79.2,83.6,435.0,29.2,53.0,10.3
2026-04-15 04:00:00,2026,4,15,4,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,159.0,Unhealthy,3.0,25.1,99,0.0,2.1,121,999.2,88,82.9,87.5,448.0,30.3,43.0,9.3
2026-04-15 05:00:00,2026,4,15,5,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,159.0,Unhealthy,3.0,24.9,100,0.0,2.7,113,999.6,83,86.4,91.3,447.0,29.1,43.0,8.3
2026-04-15 06:00:00,2026,4,15,6,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,158.0,Unhealthy,3.0,24.9,100,0.0,2.6,124,1000.4,83,91.3,95.9,445.0,26.3,51.0,7.2
2026-04-15 07:00:00,2026,4,15,7,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,157.0,Unhealthy,3.0,26.1,96,0.0,2.2,99,1001.0,84,91.7,95.5,471.0,22.3,73.0,6.7
2026-04-15 08:00:00,2026,4,15,8,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,157.0,Unhealthy,3.0,27.9,87,0.0,3.2,90,1001.8,70,78.0,82.2,563.0,16.4,121.0,7.1
2026-04-15 09:00:00,2026,4,15,9,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,156.0,Unhealthy,3.0,29.9,79,0.0,4.9,73,1002.2,41,70.1,76.8,683.0,9.3,183.0,7.9
2026-04-15 10:00:00,2026,4,15,10,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,156.0,Unhealthy,3.0,31.4,72,0.0,6.6,81,1001.9,46,68.9,77.3,751.0,4.0,226.0,8.4
2026-04-15 11:00:00,2026,4,15,11,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,155.0,Unhealthy,3.0,32.8,69,0.0,8.7,95,1001.5,42,63.1,71.9,721.0,2.1,233.0,7.9
2026-04-15 12:00:00,2026,4,15,12,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,155.0,Unhealthy,3.0,32.9,67,0.0,13.0,124,1000.9,100,49.8,58.9,638.0,2.0,222.0,7.1
2026-04-15 13:00:00,2026,4,15,13,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,155.0,Unhealthy,3.0,33.4,64,0.0,10.4,110,999.7,76,44.4,53.4,562.0,2.2,210.0,6.6
2026-04-15 14:00:00,2026,4,15,14,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,155.0,Unhealthy,3.0,34.3,61,0.0,14.2,99,998.2,100,41.4,50.2,511.0,2.0,204.0,6.6
2026-04-15 15:00:00,2026,4,15,15,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,172.0,Unhealthy,3.0,32.6,63,0.0,12.6,117,997.9,100,39.1,47.6,466.0,2.2,198.0,7.0
2026-04-15 16:00:00,2026,4,15,16,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,192.0,Unhealthy,3.0,31.4,71,0.3,14.0,119,997.8,100,37.1,45.1,427.0,3.5,191.0,8.2
2026-04-15 17:00:00,2026,4,15,17,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,201.0,Very Unhealthy,4.0,30.8,75,0.0,12.8,128,997.7,100,39.6,45.5,393.0,6.8,183.0,11.0
2026-04-15 18:00:00,2026,4,15,18,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,201.0,Very Unhealthy,4.0,29.4,80,0.0,11.6,112,998.7,100,43.3,47.6,365.0,11.3,174.0,14.5
2026-04-15 19:00:00,2026,4,15,19,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,195.0,Unhealthy,3.0,28.1,85,0.0,9.1,99,999.5,88,45.4,49.1,344.0,14.7,164.0,17.2
2026-04-15 20:00:00,2026,4,15,20,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,184.0,Unhealthy,3.0,27.4,88,0.0,7.3,101,1000.3,90,45.2,48.2,329.0,15.8,154.0,18.1
2026-04-15 21:00:00,2026,4,15,21,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,173.0,Unhealthy,3.0,27.0,91,0.0,6.7,106,1000.9,86,46.2,49.0,320.0,15.9,142.0,18.2
2026-04-15 22:00:00,2026,4,15,22,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,162.0,Unhealthy,3.0,26.6,93,0.0,5.9,101,1001.3,89,46.1,49.0,319.0,16.5,131.0,17.9
2026-04-15 23:00:00,2026,4,15,23,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,153.0,Unhealthy,3.0,26.3,95,0.0,4.7,99,1000.9,86,47.1,50.1,329.0,18.4,120.0,17.6
2026-04-16 00:00:00,2026,4,16,0,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,152.0,Unhealthy,3.0,26.0,97,0.0,3.3,103,1000.4,78,50.4,53.3,346.0,21.0,109.0,17.0
2026-04-16 01:00:00,2026,4,16,1,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,152.0,Unhealthy,3.0,25.8,98,0.0,2.5,90,1000.2,87,56.0,59.5,363.0,23.6,96.0,16.1
2026-04-16 02:00:00,2026,4,16,2,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,152.0,Unhealthy,3.0,25.5,99,0.0,2.5,98,999.9,89,61.9,65.7,379.0,26.6,79.0,14.5
2026-04-16 03:00:00,2026,4,16,3,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,152.0,Unhealthy,3.0,25.4,100,0.0,1.9,112,999.9,81,68.7,73.1,395.0,29.7,60.0,12.6
2026-04-16 04:00:00,2026,4,16,4,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,151.0,Unhealthy,3.0,25.1,100,0.0,1.8,90,1000.2,82,73.8,78.2,405.0,31.4,48.0,10.9
2026-04-16 05:00:00,2026,4,16,5,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,151.0,Unhealthy,3.0,25.1,100,0.0,1.5,104,1000.6,85,77.3,81.5,397.0,31.3,45.0,9.7
2026-04-16 06:00:00,2026,4,16,6,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,151.0,Unhealthy,3.0,25.0,100,0.0,1.1,72,1001.1,84,81.7,85.4,383.0,29.8,48.0,8.9
2026-04-16 07:00:00,2026,4,16,7,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,151.0,Unhealthy,3.0,25.7,98,0.0,1.8,11,1001.8,75,84.3,87.3,398.0,26.4,65.0,8.4
2026-04-16 08:00:00,2026,4,16,8,Thanh Hóa,Xã Điền Lư,20.2982059,105.3009833,151.0,Unhealthy,3.0,27.4,89,0.0,2.6,56,1002.8,73,63.3,66.6,476.0,19.4,103.0,8.3
