timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,225.0,Very Unhealthy,4.0,27.2,94,0.0,3.4,108,1004.6,61,51.5,55.8,341.0,14.8,132.0,9.7
2026-04-14 22:00:00,2026,4,14,22,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,213.0,Very Unhealthy,4.0,26.9,95,0.0,1.5,76,1004.9,62,48.3,53.0,325.0,15.4,115.0,8.4
2026-04-14 23:00:00,2026,4,14,23,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,199.0,Unhealthy,3.0,26.6,97,0.0,1.8,37,1004.9,74,44.9,49.5,336.0,16.0,108.0,8.1
2026-04-15 00:00:00,2026,4,15,0,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,168.0,Unhealthy,3.0,26.3,99,0.0,2.1,59,1004.1,87,43.4,47.8,364.0,16.8,106.0,8.1
2026-04-15 01:00:00,2026,4,15,1,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,167.0,Unhealthy,3.0,25.9,99,0.0,2.0,45,1003.8,87,44.9,49.6,398.0,18.1,102.0,7.5
2026-04-15 02:00:00,2026,4,15,2,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,167.0,Unhealthy,3.0,25.7,99,0.0,3.1,45,1003.0,88,48.3,53.1,437.0,20.3,94.0,5.4
2026-04-15 03:00:00,2026,4,15,3,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,167.0,Unhealthy,3.0,25.5,98,0.0,3.3,49,1002.6,90,67.3,70.8,483.0,22.9,85.0,2.7
2026-04-15 04:00:00,2026,4,15,4,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,167.0,Unhealthy,3.0,25.4,98,0.0,3.4,58,1003.0,91,85.0,88.5,525.0,24.9,77.0,0.9
2026-04-15 05:00:00,2026,4,15,5,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,167.0,Unhealthy,3.0,25.3,98,0.0,2.9,60,1003.2,90,95.5,99.2,568.0,26.2,64.0,0.4
2026-04-15 06:00:00,2026,4,15,6,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,167.0,Unhealthy,3.0,25.3,98,0.0,2.6,74,1004.2,92,104.5,108.5,608.0,26.9,52.0,0.8
2026-04-15 07:00:00,2026,4,15,7,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,168.0,Unhealthy,3.0,25.6,97,0.0,2.9,60,1004.8,82,107.1,110.6,625.0,25.4,58.0,1.9
2026-04-15 08:00:00,2026,4,15,8,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,167.0,Unhealthy,3.0,27.0,91,0.0,3.4,58,1006.0,76,81.7,85.4,603.0,20.1,95.0,4.1
2026-04-15 09:00:00,2026,4,15,9,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,166.0,Unhealthy,3.0,28.4,83,0.0,3.9,68,1006.3,94,69.8,74.5,559.0,12.8,149.0,7.1
2026-04-15 10:00:00,2026,4,15,10,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,164.0,Unhealthy,3.0,29.6,80,0.0,6.2,80,1006.4,62,67.5,72.9,522.0,7.2,197.0,9.6
2026-04-15 11:00:00,2026,4,15,11,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,163.0,Unhealthy,3.0,31.0,77,0.0,7.6,90,1005.9,60,63.6,69.2,503.0,5.2,231.0,11.3
2026-04-15 12:00:00,2026,4,15,12,Thanh Hóa,Xã Lam Sơn,19.9055558,105.4055566,162.0,Unhealthy,3.0,32.1,73,0.0,9.1,97,1005.0,46,61.7,67.1,491.0,5.0,258.0,12.6
