timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 23:00:00,2026,4,13,23,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,165.0,Unhealthy,3.0,26.8,92,0.0,3.6,90,1006.2,72,21.7,24.6,249.0,7.4,140.0,2.6
2026-04-14 00:00:00,2026,4,14,0,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,147.0,Unhealthy for Sensitive Groups,2.0,26.7,92,0.0,3.3,96,1005.9,82,20.2,23.1,243.0,7.4,136.0,2.2
2026-04-14 01:00:00,2026,4,14,1,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,129.0,Unhealthy for Sensitive Groups,2.0,26.6,92,0.0,4.3,95,1005.3,89,19.6,22.4,240.0,7.6,133.0,2.0
2026-04-14 02:00:00,2026,4,14,2,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,118.0,Unhealthy for Sensitive Groups,2.0,26.6,92,0.0,4.0,90,1004.6,91,19.7,22.4,238.0,7.9,132.0,2.0
2026-04-14 03:00:00,2026,4,14,3,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,117.0,Unhealthy for Sensitive Groups,2.0,26.5,93,0.0,4.0,80,1004.5,89,20.0,22.6,239.0,8.3,132.0,2.2
2026-04-14 04:00:00,2026,4,14,4,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,116.0,Unhealthy for Sensitive Groups,2.0,26.3,93,0.0,3.4,72,1004.6,78,20.4,23.0,251.0,9.3,129.0,2.6
2026-04-14 05:00:00,2026,4,14,5,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,115.0,Unhealthy for Sensitive Groups,2.0,26.1,94,0.0,2.6,56,1005.3,74,21.6,24.2,282.0,11.5,116.0,3.4
2026-04-14 06:00:00,2026,4,14,6,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,113.0,Unhealthy for Sensitive Groups,2.0,26.0,94,0.0,1.6,27,1005.9,84,24.6,27.2,325.0,14.1,101.0,4.4
2026-04-14 07:00:00,2026,4,14,7,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,111.0,Unhealthy for Sensitive Groups,2.0,26.9,92,0.0,1.8,37,1006.4,70,29.5,32.1,364.0,15.2,99.0,5.3
2026-04-14 08:00:00,2026,4,14,8,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,109.0,Unhealthy for Sensitive Groups,2.0,28.3,85,0.0,2.3,72,1007.2,63,33.2,36.1,402.0,13.3,123.0,6.0
2026-04-14 09:00:00,2026,4,14,9,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,106.0,Unhealthy for Sensitive Groups,2.0,29.5,80,0.0,1.8,101,1007.4,71,37.7,41.2,438.0,9.9,161.0,6.5
2026-04-14 10:00:00,2026,4,14,10,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,103.0,Unhealthy for Sensitive Groups,2.0,31.1,76,0.0,4.2,110,1007.4,54,41.7,45.6,450.0,7.2,193.0,6.6
2026-04-14 11:00:00,2026,4,14,11,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,101.0,Unhealthy for Sensitive Groups,2.0,32.5,73,0.0,6.1,90,1007.1,51,43.2,47.4,423.0,6.1,215.0,5.8
2026-04-14 12:00:00,2026,4,14,12,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,108.0,Unhealthy for Sensitive Groups,2.0,33.7,68,0.0,8.8,81,1006.4,49,42.0,46.1,373.0,5.6,231.0,4.6
2026-04-14 13:00:00,2026,4,14,13,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,130.0,Unhealthy for Sensitive Groups,2.0,34.0,65,0.0,14.1,94,1004.9,35,38.4,42.0,331.0,5.6,236.0,3.5
2026-04-14 14:00:00,2026,4,14,14,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,154.0,Unhealthy,3.0,33.4,64,0.0,15.2,104,1004.0,22,34.0,37.4,311.0,5.9,223.0,2.8
2026-04-14 15:00:00,2026,4,14,15,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,174.0,Unhealthy,3.0,32.3,68,0.0,19.2,113,1003.0,37,30.3,33.9,299.0,6.6,199.0,2.3
2026-04-14 16:00:00,2026,4,14,16,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,190.0,Unhealthy,3.0,31.1,71,0.0,16.0,113,1003.3,100,27.0,30.3,287.0,7.5,176.0,2.1
2026-04-14 17:00:00,2026,4,14,17,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,198.0,Unhealthy,3.0,29.9,77,0.0,14.6,100,1003.3,79,25.1,28.3,272.0,8.9,158.0,2.4
2026-04-14 18:00:00,2026,4,14,18,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,198.0,Unhealthy,3.0,28.7,81,0.0,14.8,108,1003.3,50,24.7,28.2,256.0,10.6,141.0,2.9
2026-04-14 19:00:00,2026,4,14,19,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,189.0,Unhealthy,3.0,27.6,86,0.0,10.8,120,1003.7,52,23.6,27.3,242.0,11.4,129.0,3.3
2026-04-14 20:00:00,2026,4,14,20,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,176.0,Unhealthy,3.0,27.3,89,0.0,4.1,135,1004.6,82,22.9,26.7,230.0,10.6,125.0,3.2
2026-04-14 21:00:00,2026,4,14,21,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,159.0,Unhealthy,3.0,27.1,90,0.0,4.7,122,1005.1,87,22.4,26.2,219.0,8.9,125.0,3.0
2026-04-14 22:00:00,2026,4,14,22,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,138.0,Unhealthy for Sensitive Groups,2.0,27.0,90,0.0,3.8,107,1005.4,85,22.1,25.9,211.0,7.7,126.0,2.7
2026-04-14 23:00:00,2026,4,14,23,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,117.0,Unhealthy for Sensitive Groups,2.0,26.9,91,0.0,3.3,96,1004.9,82,21.4,25.1,204.0,7.4,126.0,2.4
2026-04-15 00:00:00,2026,4,15,0,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,102.0,Unhealthy for Sensitive Groups,2.0,26.7,92,0.0,2.6,106,1004.6,87,20.8,24.3,200.0,7.4,126.0,2.1
2026-04-15 01:00:00,2026,4,15,1,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,91.0,Moderate,1.0,26.7,92,0.0,5.7,108,1004.0,100,21.2,24.6,198.0,7.9,125.0,2.0
2026-04-15 02:00:00,2026,4,15,2,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,26.6,92,0.1,2.7,67,1003.7,94,21.8,25.1,199.0,8.8,123.0,2.1
2026-04-15 03:00:00,2026,4,15,3,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,26.5,93,0.0,3.3,84,1003.2,86,22.1,25.4,204.0,10.1,121.0,2.5
2026-04-15 04:00:00,2026,4,15,4,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,26.4,93,0.0,3.0,76,1003.4,91,22.7,25.8,214.0,11.5,116.0,2.9
2026-04-15 05:00:00,2026,4,15,5,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,26.2,93,0.0,2.5,90,1003.9,90,24.0,27.2,231.0,13.5,104.0,3.5
2026-04-15 06:00:00,2026,4,15,6,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,26.1,94,0.0,3.2,90,1004.5,78,25.1,28.4,253.0,15.6,90.0,4.2
2026-04-15 07:00:00,2026,4,15,7,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,27.0,91,0.0,4.6,108,1005.3,72,26.2,29.0,278.0,16.2,90.0,4.8
2026-04-15 08:00:00,2026,4,15,8,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,28.2,85,0.0,7.9,141,1006.1,80,27.0,31.2,311.0,13.8,114.0,5.3
2026-04-15 09:00:00,2026,4,15,9,Thanh Hóa,Xã Lĩnh Toại,20.0057271,105.8897398,84.0,Moderate,1.0,29.5,79,0.0,8.6,147,1006.6,81,29.4,33.4,348.0,9.9,151.0,5.7
