timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,173.0,Unhealthy,3.0,27.8,93,0.0,3.8,131,989.4,44,76.6,87.5,344.0,11.1,124.0,6.9
2026-04-14 22:00:00,2026,4,14,22,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,173.0,Unhealthy,3.0,27.5,93,0.0,2.3,129,989.5,70,78.9,89.9,343.0,11.8,112.0,7.2
2026-04-14 23:00:00,2026,4,14,23,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,173.0,Unhealthy,3.0,27.5,92,0.0,1.1,108,989.5,73,82.0,93.4,352.0,12.4,103.0,7.1
2026-04-15 00:00:00,2026,4,15,0,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,173.0,Unhealthy,3.0,27.4,92,0.0,1.6,117,988.7,67,86.8,98.7,369.0,13.0,96.0,6.7
2026-04-15 01:00:00,2026,4,15,1,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,172.0,Unhealthy,3.0,26.7,93,0.0,0.8,27,988.3,55,92.9,105.0,390.0,13.8,86.0,6.2
2026-04-15 02:00:00,2026,4,15,2,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,172.0,Unhealthy,3.0,26.3,95,0.0,1.6,27,987.4,46,98.0,109.7,415.0,15.4,70.0,5.6
2026-04-15 03:00:00,2026,4,15,3,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,172.0,Unhealthy,3.0,25.6,98,0.0,3.1,36,987.0,57,101.3,111.8,445.0,17.3,53.0,4.8
2026-04-15 04:00:00,2026,4,15,4,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,172.0,Unhealthy,3.0,25.3,100,0.0,3.1,36,987.4,80,102.4,110.8,480.0,18.0,42.0,4.1
2026-04-15 05:00:00,2026,4,15,5,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,172.0,Unhealthy,3.0,25.2,100,0.0,2.5,45,987.6,88,105.5,112.9,531.0,16.9,38.0,3.3
2026-04-15 06:00:00,2026,4,15,6,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,172.0,Unhealthy,3.0,25.2,100,0.0,1.8,53,988.6,90,106.9,113.9,588.0,14.8,41.0,2.5
2026-04-15 07:00:00,2026,4,15,7,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,171.0,Unhealthy,3.0,25.7,99,0.0,0.8,27,989.3,85,107.1,113.9,612.0,12.2,57.0,2.3
2026-04-15 08:00:00,2026,4,15,8,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,171.0,Unhealthy,3.0,28.1,89,0.0,0.8,117,990.6,57,109.9,119.2,580.0,9.0,100.0,3.1
2026-04-15 09:00:00,2026,4,15,9,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,170.0,Unhealthy,3.0,30.1,80,0.0,1.8,127,991.0,49,110.4,125.3,517.0,5.4,157.0,4.4
2026-04-15 10:00:00,2026,4,15,10,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,169.0,Unhealthy,3.0,31.8,76,0.0,3.9,124,991.1,60,86.4,99.9,458.0,2.7,197.0,5.2
2026-04-15 11:00:00,2026,4,15,11,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,168.0,Unhealthy,3.0,33.6,68,0.0,5.6,130,990.7,55,58.9,68.2,414.0,1.7,202.0,4.9
2026-04-15 12:00:00,2026,4,15,12,Thanh Hóa,Xã Thanh Quân,19.7025565,105.2527646,166.0,Unhealthy,3.0,34.8,63,0.0,7.7,127,989.8,68,44.0,52.5,374.0,1.7,188.0,4.0
