timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 00:00:00,2026,4,14,0,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,178.0,Unhealthy,3.0,27.7,86,0.0,6.1,50,994.9,54,83.6,105.9,624.0,12.0,173.0,15.1
2026-04-14 01:00:00,2026,4,14,1,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,172.0,Unhealthy,3.0,27.6,89,0.0,6.0,57,994.6,73,85.9,108.0,646.0,12.6,167.0,15.0
2026-04-14 02:00:00,2026,4,14,2,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,166.0,Unhealthy,3.0,27.6,91,0.0,5.5,67,994.0,61,88.2,109.9,626.0,12.8,161.0,14.9
2026-04-14 03:00:00,2026,4,14,3,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,162.0,Unhealthy,3.0,27.3,93,0.0,4.8,77,994.0,61,90.6,111.3,582.0,12.8,155.0,14.7
2026-04-14 04:00:00,2026,4,14,4,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,158.0,Unhealthy,3.0,26.8,94,0.0,3.9,68,994.2,81,92.7,112.7,543.0,13.0,150.0,14.6
2026-04-14 05:00:00,2026,4,14,5,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,153.0,Unhealthy,3.0,26.5,95,0.0,4.4,81,995.0,87,94.5,113.9,519.0,14.2,144.0,14.4
2026-04-14 06:00:00,2026,4,14,6,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,153.0,Unhealthy,3.0,26.2,96,0.0,3.7,79,995.6,91,96.2,114.6,500.0,15.7,138.0,14.2
2026-04-14 07:00:00,2026,4,14,7,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,155.0,Unhealthy,3.0,27.5,92,0.0,4.3,90,996.1,86,97.3,114.1,485.0,15.5,141.0,14.6
2026-04-14 08:00:00,2026,4,14,8,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,156.0,Unhealthy,3.0,28.6,85,0.0,5.0,120,996.9,78,96.4,107.8,475.0,12.0,160.0,16.4
2026-04-14 09:00:00,2026,4,14,9,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,157.0,Unhealthy,3.0,30.0,79,0.0,6.1,135,997.2,59,87.5,93.6,468.0,6.8,187.0,18.8
2026-04-14 10:00:00,2026,4,14,10,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,159.0,Unhealthy,3.0,31.3,72,0.0,6.0,147,997.3,50,87.8,94.1,462.0,2.9,208.0,19.7
2026-04-14 11:00:00,2026,4,14,11,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,160.0,Unhealthy,3.0,33.0,64,0.0,6.6,139,996.8,42,88.0,95.7,454.0,1.7,216.0,17.8
2026-04-14 12:00:00,2026,4,14,12,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,161.0,Unhealthy,3.0,34.4,56,0.0,7.6,135,995.8,40,83.8,92.9,447.0,1.8,217.0,14.4
2026-04-14 13:00:00,2026,4,14,13,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,162.0,Unhealthy,3.0,35.2,54,0.0,9.0,127,994.3,35,76.4,86.4,439.0,2.0,217.0,11.6
2026-04-14 14:00:00,2026,4,14,14,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,174.0,Unhealthy,3.0,35.5,54,0.0,9.1,124,992.7,34,70.3,80.8,427.0,1.8,219.0,10.2
2026-04-14 15:00:00,2026,4,14,15,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,187.0,Unhealthy,3.0,35.5,54,0.0,9.4,122,991.7,25,66.8,76.8,415.0,1.8,220.0,9.5
2026-04-14 16:00:00,2026,4,14,16,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,200.0,Unhealthy,3.0,35.1,54,0.0,10.0,120,991.1,7,66.8,76.1,412.0,2.5,217.0,9.3
2026-04-14 17:00:00,2026,4,14,17,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,204.0,Very Unhealthy,4.0,33.9,56,0.0,9.7,112,991.1,0,70.1,77.8,421.0,4.8,207.0,9.9
2026-04-14 18:00:00,2026,4,14,18,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,205.0,Very Unhealthy,4.0,32.3,60,0.0,8.0,98,991.4,4,74.5,81.5,438.0,7.8,193.0,11.0
2026-04-14 19:00:00,2026,4,14,19,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,204.0,Very Unhealthy,4.0,30.5,69,0.0,7.0,78,992.1,29,78.5,86.1,463.0,10.1,183.0,12.4
2026-04-14 20:00:00,2026,4,14,20,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,202.0,Very Unhealthy,4.0,29.7,75,0.0,7.0,69,992.9,52,82.0,89.6,499.0,10.9,180.0,13.9
2026-04-14 21:00:00,2026,4,14,21,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,198.0,Unhealthy,3.0,29.5,79,0.0,7.0,78,993.8,77,84.5,92.4,543.0,11.0,181.0,15.7
2026-04-14 22:00:00,2026,4,14,22,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,193.0,Unhealthy,3.0,29.3,82,0.0,7.0,69,993.9,70,86.4,94.1,583.0,11.0,181.0,17.2
2026-04-14 23:00:00,2026,4,14,23,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,187.0,Unhealthy,3.0,28.9,84,0.0,5.8,68,993.9,79,88.2,95.7,617.0,11.3,180.0,18.4
2026-04-15 00:00:00,2026,4,15,0,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,180.0,Unhealthy,3.0,28.5,86,0.0,5.7,72,993.6,84,92.4,99.4,647.0,11.6,179.0,19.4
2026-04-15 01:00:00,2026,4,15,1,Tuyên Quang,Xã Bằng Lang,22.3638902,104.6360103,174.0,Unhealthy,3.0,28.3,87,0.0,5.8,83,993.4,84,96.6,103.4,666.0,11.7,178.0,20.4
