timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 09:00:00,2026,4,14,9,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,172.0,Unhealthy,3.0,30.6,78,0.0,3.2,153,998.5,78,46.9,55.5,318.0,10.7,112.0,14.5
2026-04-14 10:00:00,2026,4,14,10,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,171.0,Unhealthy,3.0,31.8,72,0.0,5.2,196,998.5,41,47.5,56.3,314.0,6.5,142.0,14.8
2026-04-14 11:00:00,2026,4,14,11,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,169.0,Unhealthy,3.0,33.2,67,0.0,4.8,207,997.9,50,52.9,58.6,333.0,4.4,169.0,14.9
2026-04-14 12:00:00,2026,4,14,12,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,168.0,Unhealthy,3.0,34.5,60,0.0,5.4,217,997.0,33,62.9,68.9,365.0,3.4,195.0,15.0
2026-04-14 13:00:00,2026,4,14,13,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,167.0,Unhealthy,3.0,35.4,57,0.0,5.4,200,995.4,31,72.9,80.6,397.0,3.0,215.0,14.8
2026-04-14 14:00:00,2026,4,14,14,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,167.0,Unhealthy,3.0,36.1,55,0.0,6.9,189,994.0,26,80.3,90.8,425.0,2.8,229.0,14.0
2026-04-14 15:00:00,2026,4,14,15,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,167.0,Unhealthy,3.0,36.6,53,0.0,7.9,177,992.9,4,84.1,97.3,453.0,3.0,237.0,13.1
2026-04-14 16:00:00,2026,4,14,16,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,167.0,Unhealthy,3.0,36.5,54,0.0,9.2,169,992.2,31,86.4,99.9,476.0,4.1,238.0,13.2
2026-04-14 17:00:00,2026,4,14,17,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,183.0,Unhealthy,3.0,35.9,56,0.0,8.8,161,992.1,32,88.0,99.4,498.0,6.7,229.0,15.3
2026-04-14 18:00:00,2026,4,14,18,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,201.0,Very Unhealthy,4.0,34.5,62,0.0,6.8,148,992.4,39,90.1,99.7,515.0,10.1,214.0,18.4
2026-04-14 19:00:00,2026,4,14,19,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,205.0,Very Unhealthy,4.0,33.1,69,0.0,5.1,141,993.1,24,89.6,96.4,513.0,12.6,198.0,21.1
2026-04-14 20:00:00,2026,4,14,20,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,207.0,Very Unhealthy,4.0,31.9,74,0.0,4.1,135,993.7,6,88.0,92.4,479.0,13.3,186.0,23.3
2026-04-14 21:00:00,2026,4,14,21,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,207.0,Very Unhealthy,4.0,31.1,79,0.0,4.3,95,994.5,41,86.8,89.6,427.0,13.1,174.0,25.1
2026-04-14 22:00:00,2026,4,14,22,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,204.0,Very Unhealthy,4.0,30.2,85,0.0,5.4,86,994.9,59,81.0,83.1,380.0,13.3,158.0,25.5
2026-04-14 23:00:00,2026,4,14,23,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,198.0,Unhealthy,3.0,29.8,84,0.0,5.2,74,995.3,69,73.3,75.2,346.0,14.3,133.0,23.4
2026-04-15 00:00:00,2026,4,15,0,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,181.0,Unhealthy,3.0,29.3,83,0.0,5.4,90,995.3,81,65.7,67.3,318.0,15.6,103.0,19.8
2026-04-15 01:00:00,2026,4,15,1,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,164.0,Unhealthy,3.0,28.8,82,0.0,4.8,103,995.0,89,60.5,62.4,298.0,17.3,79.0,16.8
2026-04-15 02:00:00,2026,4,15,2,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,163.0,Unhealthy,3.0,28.5,83,0.0,4.2,110,994.5,91,57.7,61.5,289.0,19.9,64.0,15.1
2026-04-15 03:00:00,2026,4,15,3,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,162.0,Unhealthy,3.0,28.2,83,0.0,4.0,100,993.9,83,56.9,61.7,287.0,22.9,54.0,14.1
2026-04-15 04:00:00,2026,4,15,4,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,161.0,Unhealthy,3.0,28.0,85,0.0,1.3,124,994.2,82,56.9,62.2,285.0,24.5,48.0,13.2
2026-04-15 05:00:00,2026,4,15,5,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,160.0,Unhealthy,3.0,27.8,86,0.0,2.6,106,994.5,86,57.0,62.9,279.0,24.2,43.0,12.3
2026-04-15 06:00:00,2026,4,15,6,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,159.0,Unhealthy,3.0,27.8,88,0.0,1.5,104,995.3,82,57.9,63.6,273.0,22.5,42.0,11.7
2026-04-15 07:00:00,2026,4,15,7,Tuyên Quang,Xã Kiên Đài,22.1755791,105.3462261,158.0,Unhealthy,3.0,28.3,89,0.0,1.9,68,996.1,74,51.5,57.3,271.0,19.7,51.0,11.7
