timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 00:00:00,2026,4,14,0,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,77.0,Moderate,1.0,18.8,78,0.0,7.2,198,880.5,6,42.6,60.1,433.0,13.8,106.0,7.6
2026-04-14 01:00:00,2026,4,14,1,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,78.0,Moderate,1.0,18.2,84,0.0,6.8,198,880.1,14,45.4,63.8,439.0,13.9,106.0,7.7
2026-04-14 02:00:00,2026,4,14,2,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,80.0,Moderate,1.0,17.8,89,0.0,6.3,204,879.4,36,47.7,66.8,422.0,14.1,104.0,7.7
2026-04-14 03:00:00,2026,4,14,3,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,83.0,Moderate,1.0,17.4,91,0.0,5.2,214,879.3,55,49.2,68.7,395.0,14.3,100.0,7.7
2026-04-14 04:00:00,2026,4,14,4,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,85.0,Moderate,1.0,17.2,93,0.0,4.7,238,879.3,81,50.1,69.4,385.0,14.4,96.0,7.6
2026-04-14 05:00:00,2026,4,14,5,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,88.0,Moderate,1.0,17.2,93,0.0,4.6,231,880.1,85,50.5,69.6,412.0,15.0,86.0,7.4
2026-04-14 06:00:00,2026,4,14,6,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,90.0,Moderate,1.0,17.1,94,0.0,4.1,232,880.4,75,51.6,70.3,455.0,15.5,76.0,7.1
2026-04-14 07:00:00,2026,4,14,7,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,93.0,Moderate,1.0,18.6,90,0.0,4.0,207,881.3,80,53.0,70.5,483.0,14.6,81.0,7.4
2026-04-14 08:00:00,2026,4,14,8,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,95.0,Moderate,1.0,20.7,80,0.0,5.1,184,882.4,69,55.1,72.4,477.0,10.7,120.0,9.1
2026-04-14 09:00:00,2026,4,14,9,Tuyên Quang,Xã Nghĩa Thuận,23.1282557,104.9492024,97.0,Moderate,1.0,22.2,69,0.0,4.7,180,883.1,81,60.5,77.3,456.0,5.3,174.0,11.3
