timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,85.0,Moderate,1.0,26.9,84,0.0,5.9,166,1010.7,0,26.0,28.3,201.0,14.6,61.0,6.1
2026-04-13 23:00:00,2026,4,13,23,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,85.0,Moderate,1.0,26.5,87,0.0,4.7,180,1010.8,3,27.8,30.2,207.0,15.2,56.0,5.6
2026-04-14 00:00:00,2026,4,14,0,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,84.0,Moderate,1.0,26.2,90,0.0,4.3,185,1010.3,25,29.5,31.8,212.0,16.2,52.0,5.0
2026-04-14 01:00:00,2026,4,14,1,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,84.0,Moderate,1.0,25.9,91,0.0,4.7,184,1009.9,29,32.1,34.5,217.0,17.7,48.0,4.8
2026-04-14 02:00:00,2026,4,14,2,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,84.0,Moderate,1.0,25.8,92,0.0,4.7,180,1009.5,30,35.6,38.0,220.0,20.2,42.0,5.2
2026-04-14 03:00:00,2026,4,14,3,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,84.0,Moderate,1.0,25.6,92,0.0,4.3,185,1009.4,30,40.3,42.7,223.0,23.2,36.0,6.0
2026-04-14 04:00:00,2026,4,14,4,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,84.0,Moderate,1.0,25.5,92,0.0,4.0,185,1009.8,26,45.6,48.1,226.0,25.5,32.0,6.9
2026-04-14 05:00:00,2026,4,14,5,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,85.0,Moderate,1.0,25.3,93,0.0,3.2,180,1010.1,18,51.1,53.8,235.0,27.2,30.0,8.4
2026-04-14 06:00:00,2026,4,14,6,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,85.0,Moderate,1.0,25.2,93,0.0,2.9,173,1010.6,11,58.8,61.7,244.0,28.0,31.0,10.0
2026-04-14 07:00:00,2026,4,14,7,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,86.0,Moderate,1.0,26.3,89,0.0,3.6,174,1011.4,9,55.8,58.9,244.0,26.3,39.0,10.6
2026-04-14 08:00:00,2026,4,14,8,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,87.0,Moderate,1.0,28.0,79,0.0,6.8,180,1012.3,40,30.9,35.0,225.0,19.6,61.0,9.2
2026-04-14 09:00:00,2026,4,14,9,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,88.0,Moderate,1.0,29.6,69,0.0,8.0,175,1012.5,59,23.4,27.9,196.0,10.4,90.0,6.7
2026-04-14 10:00:00,2026,4,14,10,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,88.0,Moderate,1.0,31.0,62,0.0,6.4,153,1012.1,68,21.5,25.2,175.0,3.5,113.0,4.7
2026-04-14 11:00:00,2026,4,14,11,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,88.0,Moderate,1.0,32.3,57,0.0,5.7,125,1011.6,50,20.3,22.8,172.0,1.4,125.0,3.9
2026-04-14 12:00:00,2026,4,14,12,Vĩnh Long,Xã Phú Thuận,10.2797233,106.485345,88.0,Moderate,1.0,33.6,52,0.0,6.8,108,1010.5,59,20.2,22.4,178.0,1.7,130.0,3.5
