timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,53.0,Moderate,1.0,27.7,81,0.0,7.9,156,1008.2,0,13.0,16.8,167.0,2.9,74.0,1.0
2026-04-14 22:00:00,2026,4,14,22,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,53.0,Moderate,1.0,27.4,83,0.0,7.4,157,1008.4,0,12.5,16.1,167.0,2.9,74.0,1.0
2026-04-14 23:00:00,2026,4,14,23,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,52.0,Moderate,1.0,27.1,84,0.0,7.1,165,1008.5,0,11.7,15.2,164.0,2.8,74.0,0.9
2026-04-15 00:00:00,2026,4,15,0,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,52.0,Moderate,1.0,26.9,86,0.0,6.5,183,1008.5,18,10.9,14.4,159.0,2.7,75.0,0.9
2026-04-15 01:00:00,2026,4,15,1,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,52.0,Moderate,1.0,26.7,87,0.0,5.2,192,1007.5,14,10.7,14.0,155.0,2.6,76.0,0.8
2026-04-15 02:00:00,2026,4,15,2,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,52.0,Moderate,1.0,26.5,89,0.0,4.8,193,1006.8,38,10.7,14.1,153.0,2.7,76.0,0.8
2026-04-15 03:00:00,2026,4,15,3,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,51.0,Moderate,1.0,26.4,91,0.0,4.0,190,1006.5,62,10.8,14.3,153.0,2.9,76.0,0.8
2026-04-15 04:00:00,2026,4,15,4,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,51.0,Moderate,1.0,26.5,92,0.0,4.0,190,1006.6,61,11.3,14.8,154.0,3.0,76.0,0.9
2026-04-15 05:00:00,2026,4,15,5,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,51.0,Moderate,1.0,26.5,92,0.0,4.0,190,1007.3,63,11.8,15.4,159.0,3.1,76.0,1.0
2026-04-15 06:00:00,2026,4,15,6,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,50.0,Good,0.0,26.5,91,0.0,4.1,195,1007.5,60,12.3,15.9,165.0,3.2,75.0,1.1
2026-04-15 07:00:00,2026,4,15,7,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,50.0,Good,0.0,27.3,86,0.0,5.1,188,1008.6,50,11.8,15.5,167.0,3.1,76.0,1.1
2026-04-15 08:00:00,2026,4,15,8,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,50.0,Good,0.0,28.5,74,0.0,8.0,185,1009.2,63,9.4,13.2,159.0,2.5,79.0,1.0
2026-04-15 09:00:00,2026,4,15,9,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,49.0,Good,0.0,29.8,67,0.0,7.6,180,1010.0,55,8.9,12.6,145.0,1.6,82.0,0.8
2026-04-15 10:00:00,2026,4,15,10,Vĩnh Long,Xã Tân Thủy,10.0032418,106.6185342,49.0,Good,0.0,31.1,61,0.0,7.2,177,1009.8,45,8.9,12.7,135.0,0.9,84.0,0.6
